CityName,StateID,Beliefs,normalized_beliefs
Waterloo,IA,450.6,0.233193603
West Des Moines,IA,NA,0
Boise City,ID,287,0.148527661
Caldwell,ID,369.9,0.191429902
Idaho Falls,ID,279.9,0.144853284
Meridian,ID,173.7,0.089892874
Nampa,ID,325.7,0.168555607
Pocatello,ID,419.6,0.217150546
Arlington Heights,IL,43.7,0.022615536
Aurora,IL,258.1,0.133571392
Berwyn,IL,205.8,0.106505201
Bloomington,IL,496.1,0.256740672
Bolingbrook,IL,165.3,0.085545723
Champaign,IL,943.7,0.488381721
Chicago,IL,942.3,0.487657196
Cicero,IL,313.4,0.162190136
Decatur,IL,518.2,0.268177819
Des Plaines,IL,95.4,0.049371216
Elgin,IL,198,0.102468561
Evanston,IL,154.2,0.079801273
Hoffman Estates,IL,127.8,0.066138798
Joliet,IL,508,0.262899136
Mount Prospect,IL,53.1,0.027480205
Naperville,IL,NA,0
Normal,IL,276.9,0.14330073
Oak Lawn,IL,148.4,0.076799669
Oak Park,IL,298.7,0.154582622
Orland Park,IL,44.3,0.022926047
Palatine,IL,61.4,0.031775604
Peoria,IL,1020,0.527868343
Rockford,IL,1163.4,0.602080422
Schaumburg,IL,98.4,0.05092377
Skokie,IL,235,0.121616726
Springfield,IL,767.1,0.396988045
Tinley Park,IL,38.9,0.02013145
Waukegan,IL,379.2,0.196242819
Wheaton,IL,82.6,0.042746985
Anderson,IN,443.9,0.229726233
Bloomington,IN,NA,0
Carmel,IN,30.8,0.015939554
Elkhart,IN,NA,0
Evansville,IN,608,0.314650934
Fishers,IN,56.5,0.029239766
Fort Wayne,IN,366.5,0.189670341
Gary,IN,544.7,0.281892046
Greenwood,IN,167.9,0.086891269
Hammond,IN,411.5,0.21295865
Indianapolis,IN,NA,0
Kokomo,IN,674.2,0.348910625
Lafayette,IN,485,0.250996222
Muncie,IN,NA,0
Noblesville,IN,50.7,0.026238162
South Bend,IN,1329.9,0.688247167
Terre Haute,IN,NA,0
Kansas City,KS,NA,0
Lawrence,KS,NA,0
Lenexa,KS,161.1,0.083372147
Manhattan,KS,NA,0
Olathe,KS,210.7,0.109041039
Overland Park,KS,NA,0
Shawnee,KS,215.1,0.111318118
Topeka,KS,708.1,0.366454484
Wichita,KS,1141.6,0.59079853
Bowling Green,KY,300.3,0.155410651
Lexington,KY,301.6,0.156083424
Louisville,KY,751.1,0.388707758
Owensboro,KY,226.8,0.117373079
Baton Rouge,LA,921.7,0.476996326
Bossier City,LA,800,0.414014387
Kenner,LA,223.1,0.115458262
Lafayette,LA,524.2,0.271282927
Lake Charles,LA,534.4,0.276561611
New Orleans,LA,1155.4,0.597940278
Shreveport,LA,761.3,0.393986441
Boston,MA,620.1,0.320912902
Brockton,MA,818,0.423329711
Cambridge,MA,286.4,0.148217151
Chicopee,MA,613.5,0.317497283
Fall River,MA,864.8,0.447549552
Haverhill,MA,527.3,0.272887233
Lawrence,MA,676.7,0.35020442
Lowell,MA,363.9,0.188324794
Lynn,MA,496,0.25668892
Malden,MA,265.6,0.137452776
Medford,MA,201.3,0.10417637
New Bedford,MA,659.4,0.341251358
Newton,MA,55.3,0.028618745
Peabody,MA,232.5,0.120322931
Quincy,MA,398.1,0.206023909
Revere,MA,322.2,0.166744294
Somerville,MA,205.2,0.10619469
Springfield,MA,906.3,0.469026549
Taunton,MA,379.9,0.196605082
Waltham,MA,162.5,0.084096672
Weymouth Town,MA,299.6,0.155048388
Worcester,MA,629.2,0.325622315
Baltimore,MD,1822.7,0.943280029
Bowie,MD,100.9,0.052217565
Frederick,MD,417.6,0.21611551
Gaithersburg,MD,NA,0
Rockville,MD,NA,0
Portland,ME,241.8,0.125135848
Ann Arbor,MI,255.9,0.132432852
Battle Creek,MI,1106.9,0.572840656
Dearborn,MI,322.1,0.166692543
Dearborn Heights,MI,406.4,0.210319309
Detroit,MI,1932.3,1
Farmington Hills,MI,107.1,0.055426176
Flint,MI,1329.8,0.688195415
Grand Rapids,MI,648.2,0.335455157
Kalamazoo,MI,1248.4,0.646069451
Kentwood,MI,313.4,0.162190136
Lansing,MI,1120.7,0.579982404
Livonia,MI,177.2,0.091704187
Novi,MI,80,0.041401439
Pontiac,MI,1282.6,0.663768566
Rochester Hills,MI,52.6,0.027221446
Royal Oak,MI,103,0.053304352
St. Clair Shores,MI,179.7,0.092997982
Southfield,MI,273.3,0.141437665
Sterling Heights,MI,126.1,0.065259018
Taylor,MI,615.8,0.318687574
Troy,MI,79.8,0.041297935
Warren,MI,480.7,0.248770895
Westland,MI,374.7,0.193913989
Wyoming,MI,486.1,0.251565492
Apple Valley,MN,96.4,0.049888734
Blaine,MN,95.1,0.04921596
Bloomington,MN,237.9,0.123117528
